air,level,ext_field,hash,r,n_trace,blowup,prove_ms,verify_ms,proof_kib,peak_rss_mib,run_idx,ldt
PoseidonChain-2^19,L1,Fp6,SHA3-384,54,524288,32,174958,2.11,298.1,,3,stir
PoseidonChain-2^20,L1,Fp6,SHA3-384,54,1048576,32,354525,2.16,300.8,,3,stir
PoseidonChain-2^21,L1,Fp6,SHA3-384,54,2097152,32,718519,2.32,341.4,,3,stir
PoseidonChain-2^22,L1,Fp6,SHA3-384,54,4194304,32,1463583,2.35,344.1,,3,stir
RegisterMachine-2^11,L1,Fp6,SHA3-384,54,2048,32,321,1.46,200.8,,3,stir
RegisterMachine-2^12,L1,Fp6,SHA3-384,54,4096,32,624,1.50,203.4,,3,stir
RegisterMachine-2^13,L1,Fp6,SHA3-384,54,8192,32,1248,1.70,244.1,,3,stir
RegisterMachine-2^14,L1,Fp6,SHA3-384,54,16384,32,2510,1.74,246.8,,3,stir
RegisterMachine-2^15,L1,Fp6,SHA3-384,54,32768,32,5102,1.77,249.4,,3,stir
RegisterMachine-2^16,L1,Fp6,SHA3-384,54,65536,32,10407,1.82,252.1,,3,stir
RegisterMachine-2^17,L1,Fp6,SHA3-384,54,131072,32,21363,2.00,292.7,,3,stir
RegisterMachine-2^18,L1,Fp6,SHA3-384,54,262144,32,43388,2.04,295.4,,3,stir
RegisterMachine-2^19,L1,Fp6,SHA3-384,54,524288,32,88444,2.09,298.1,,3,stir
RegisterMachine-2^20,L1,Fp6,SHA3-384,54,1048576,32,179471,2.12,300.8,,3,stir
RegisterMachine-2^21,L1,Fp6,SHA3-384,54,2097152,32,363716,2.32,341.4,,3,stir
RegisterMachine-2^22,L1,Fp6,SHA3-384,54,4194304,32,741058,2.34,344.1,,3,stir
Fibonacci-2^11,L1,Fp8,SHA3-512,54,2048,32,286,2.19,266.0,,1,stir
Fibonacci-2^12,L1,Fp8,SHA3-512,54,4096,32,553,2.26,269.5,,1,stir
Fibonacci-2^13,L1,Fp8,SHA3-512,54,8192,32,1085,2.55,323.7,,1,stir
Fibonacci-2^14,L1,Fp8,SHA3-512,54,16384,32,2156,2.61,327.2,,1,stir
Fibonacci-2^15,L1,Fp8,SHA3-512,54,32768,32,4328,2.67,330.8,,1,stir
Fibonacci-2^16,L1,Fp8,SHA3-512,54,65536,32,8718,2.76,334.3,,1,stir
Fibonacci-2^17,L1,Fp8,SHA3-512,54,131072,32,17724,3.04,388.5,,1,stir
Fibonacci-2^18,L1,Fp8,SHA3-512,54,262144,32,35879,3.10,392.0,,1,stir
Fibonacci-2^19,L1,Fp8,SHA3-512,54,524288,32,72466,3.17,395.5,,1,stir
Fibonacci-2^20,L1,Fp8,SHA3-512,54,1048576,32,145751,3.22,399.0,,1,stir
Fibonacci-2^21,L1,Fp8,SHA3-512,54,2097152,32,292079,3.52,453.2,,1,stir
Fibonacci-2^22,L1,Fp8,SHA3-512,54,4194304,32,589573,3.60,456.7,,1,stir
PoseidonChain-2^11,L1,Fp8,SHA3-512,54,2048,32,649,2.21,266.0,,1,stir
PoseidonChain-2^12,L1,Fp8,SHA3-512,54,4096,32,1284,2.25,269.5,,1,stir
PoseidonChain-2^13,L1,Fp8,SHA3-512,54,8192,32,2577,2.57,323.7,,1,stir
